video_id,label,offset,length
69241,book,0,38
07069,book,38,15
07068,book,53,34
07070,book,87,43
07099,book,130,44
07074,book,174,19
69302,drink,193,39
65539,drink,232,22
17710,drink,254,35
17733,drink,289,47
65540,drink,336,23
17734,drink,359,45
17711,drink,404,41
17712,drink,445,22
17713,drink,467,46
17709,drink,513,53
17720,drink,566,20
17721,drink,586,24
17722,drink,610,24
17723,drink,634,30
17724,drink,664,15
12328,computer,679,44
12312,computer,723,51
12311,computer,774,36
12338,computer,810,54
12313,computer,864,41
12314,computer,905,22
12315,computer,927,29
12316,computer,956,22
12317,computer,978,27
12318,computer,1005,23
12319,computer,1028,20
12320,computer,1048,51
12326,computer,1099,37
12327,computer,1136,23
05728,before,1159,13
05749,before,1172,45
05750,before,1217,50
05729,before,1267,26
05730,before,1293,16
65167,before,1309,29
05731,before,1338,23
05732,before,1361,43
05733,before,1404,54
05734,before,1458,41
05727,before,1499,44
05739,before,1543,26
05740,before,1569,24
05741,before,1593,16
05742,before,1609,14
05743,before,1623,24
09848,chair,1647,48
09869,chair,1695,47
09849,chair,1742,41
09850,chair,1783,16
09851,chair,1799,46
65328,chair,1845,30
09854,chair,1875,15
69345,go,1890,34
24955,go,1924,30
24956,go,1954,23
24941,go,1977,33
24960,go,2010,23
24961,go,2033,23
24962,go,2056,21
65824,go,2077,21
24973,go,2098,54
24943,go,2152,31
24946,go,2183,17
24947,go,2200,32
24940,go,2232,44
24952,go,2276,17
24954,go,2293,30
11310,clothes,2323,45
11330,clothes,2368,42
11311,clothes,2410,47
11313,clothes,2457,18
11309,clothes,2475,34
69534,who,2509,32
63242,who,2541,43
63226,who,2584,34
63227,who,2618,18
63228,who,2636,20
63229,who,2656,24
63230,who,2680,31
63231,who,2711,47
66778,who,2758,29
63232,who,2787,78
66779,who,2865,27
63225,who,2892,56
63236,who,2948,23
63237,who,2971,23
08929,candy,2994,41
08916,candy,3035,44
08917,candy,3079,16
08918,candy,3095,15
08919,candy,3110,43
08920,candy,3153,38
08921,candy,3191,29
65298,candy,3220,30
08924,candy,3250,14
65299,candy,3264,31
65300,candy,3295,32
08915,candy,3327,47
08925,candy,3374,21
65415,cousin,3395,35
13647,cousin,3430,40
13648,cousin,3470,35
13631,cousin,3505,36
13632,cousin,3541,36
13633,cousin,3577,47
13634,cousin,3624,48
13635,cousin,3672,53
13636,cousin,3725,66
13630,cousin,3791,53
13640,cousin,3844,30
13641,cousin,3874,22
13642,cousin,3896,20
13646,cousin,3916,36
14882,deaf,3952,54
14903,deaf,4006,41
14883,deaf,4047,12
14884,deaf,4059,19
14885,deaf,4078,13
14886,deaf,4091,19
65445,deaf,4110,26
14887,deaf,4136,31
14888,deaf,4167,33
14893,deaf,4200,22
14894,deaf,4222,20
21870,fine,4242,33
21890,fine,4275,38
21891,fine,4313,39
21871,fine,4352,40
21872,fine,4392,39
21869,fine,4431,42
21874,fine,4473,45
21878,fine,4518,19
21883,fine,4537,16
69364,help,4553,38
27221,help,4591,39
27206,help,4630,36
27207,help,4666,29
27208,help,4695,34
27209,help,4729,30
65890,help,4759,30
27213,help,4789,25
27214,help,4814,27
65891,help,4841,30
65889,help,4871,31
27215,help,4902,15
27216,help,4917,27
27217,help,4944,32
69411,no,4976,34
38525,no,5010,33
38544,no,5043,42
38527,no,5085,23
38529,no,5108,54
38530,no,5162,27
38532,no,5189,22
38533,no,5211,27
66183,no,5238,34
38524,no,5272,40
38534,no,5312,27
57948,thin,5339,27
57949,thin,5366,27
57934,thin,5393,45
57953,thin,5438,44
57935,thin,5482,45
57936,thin,5527,15
57937,thin,5542,16
66606,thin,5558,31
57939,thin,5589,19
57940,thin,5608,15
57941,thin,5623,15
57942,thin,5638,37
66607,thin,5675,36
57933,thin,5711,45
57943,thin,5756,60
57947,thin,5816,23
62175,walk,5839,48
62159,walk,5887,44
62160,walk,5931,15
62163,walk,5946,17
62164,walk,5963,41
66743,walk,6004,27
66742,walk,6031,33
62158,walk,6064,47
62168,walk,6111,35
62169,walk,6146,32
62170,walk,6178,21
64211,year,6199,26
64224,year,6225,47
